,nudi_num,trial_type,mean_vel,sd_vel
1,2,conspecific,0.001379143,0.00058998
2,3,conspecific,0.001302286,0.000890101
3,4,conspecific,0.000612571,0.000357753
4,5,conspecific,0.001265429,0.000731671
5,6,conspecific,0.0011842,0.000457327
6,7,conspecific,0.000822429,0.00015324
7,8,conspecific,0.000829143,0.000613411
8,10,conspecific,0.000618857,0.000302829
9,11,conspecific,0.000682143,0.00031556
10,12,conspecific,0.000606,0.000759272
11,13,conspecific,0.001068,0.000644708
12,14,conspecific,0.001384286,0.000798621
13,15,conspecific,0.000488929,0.000752534
14,16,conspecific,0.0009782,0.001182908
15,17,conspecific,0.001080429,0.000415622
16,18,conspecific,0.001564143,0.000543831
17,19,conspecific,0.001414429,0.001140727
18,20,conspecific,0.000660143,0.000745556
19,21,conspecific,0.001129429,0.000646843
20,22,conspecific,0.000871143,0.000558557
21,23,conspecific,0.000742,0.00020212
22,24,conspecific,0.000707286,0.000217652
23,25,conspecific,0.000982429,0.000485909
24,28,conspecific,0.000910714,0.00059946
