Size (m),Size SD (m),Temperature Group (°C) ,Predator T/A,Predator Mean Velocity (m/s),SD Predator velocity (m/s),Mean Angle Predator (°),SD Angle Predator (°)
0.033,0.011,16,0,0.001311,0.000769,159.557,111.602
0.037,0.008,18,1,0.000949,0.000788,188.177,104.84
0.01,0.002,12,0,0.000687,0.000251,135.613,105.745
0.04,0.006,14,1,0.001078,0.0007,245.698,95.665
0.034,0.007,12,0,0.001141,0.00062,163.265,119.868
0.025,0.005,16,0,0.000775,0.001535,107.588,112.664
0.031,0.006,12,0,0.001133,0.00082,117.861,92.529
0.028,0.001,18,0,0.001075,0.000516,161.336,95.691
0.016,0.005,12,1,0.000368,0.000165,257.26,14.484
0.028,0.008,18,0,0.000548,0.000941,110.686,113.305
0.045,0.003,18,0,0.001766,0.000955,170.803,104.795
0.03,0.016,16,0,0.000594,0.000342,164.094,94.473
0.024,0.003,14,0,0.000635,0.000589,136.782,73.4
0.043,0.001,14,1,0.001576,0.000833,189.658,106.46
0.016,0.002,12,0,0.000794,0.000267,148.02,100.007
0.038,0.006,14,0,0.000472,0.000309,104.749,66.87
0.037,0.013,16,0,0.001147,0.000661,153.157,115.007
0.024,0.002,18,0,0.000312,0.000476,35.64,46.042
0.036,0.005,14,0,0.001449,0.000882,176.727,103.405
0.038,0.002,16,1,0.002,0.000667,183.816,102.131
0.035,0.004,14,0,0.000527,0.000634,104.076,67.7
0.021,0.002,18,0,0.000394,0.00065,83.656,105.023
0.031,0.004,12,1,0.000929,0.000441,210.149,101.215
0.034,0.001,16,1,0.000786,0.000564,187.424,111.873
