nudi_num,avg_length_m,standard_dev,temp_grp,con_T/A,pred_T/A,mean_vel_con,sd_vel_con,mean_vel_pred,sd_vel_pred,mean_angle_con,sd_angle_con,mean_angle_pred,sd_angle_pred
2,0.033,0.011314,16,0,0,0.001379143,0.00058998,0.0013106,0.000769406,155.6101429,101.9330498,159.5565,111.602035
3,0.037,0.008485,18,1,1,0.001302286,0.000890101,0.00094897,0.000788417,194.9114286,103.4142851,188.177,104.840057
4,0.0095,0.002121,12,1,0,0.000612571,0.000357753,0.0006865,0.000250526,310.7651667,100.4400257,135.6125,105.7452084
5,0.04,0.005657,14,0,1,0.001265429,0.000731671,0.0010775,0.000699966,172.9338333,157.1112359,245.6982,95.66528737
6,0.034,0.007071,12,0,0,0.0011842,0.000457327,0.0011406,0.000620401,162.2156,81.73560418,163.2648,119.8683673
7,0.0245,0.00495,16,0,0,0.000822429,0.00015324,0.0007751,0.001534999,165.222,157.9885798,107.5883,112.6638365
8,0.031,0.005657,12,1,0,0.000829143,0.000613411,0.00113274,0.000820367,206.9896667,160.833419,117.8607,92.52855087
10,0.028,0.001414,18,1,0,0.000618857,0.000302829,0.0010752,0.000515838,226.544,97.08733703,161.3361,95.69146061
11,0.0155,0.00495,12,1,1,0.000682143,0.00031556,0.0003684,0.0001649,226.0302857,99.73855701,257.2603,14.48420192
12,0.0275,0.007778,18,0,0,0.000606,0.000759272,0.0005475,0.000940778,147.4105,145.911512,110.6862,113.304753
13,0.045,0.002828,18,1,0,0.001068,0.000644708,0.0017657,0.000954543,255.0505,15.91496324,170.8029,104.7949474
14,0.0295,0.016263,16,0,0,0.001384286,0.000798621,0.00059391,0.000341755,160.9024286,90.12380958,164.0936,94.47337042
15,0.024,0.002828,14,0,0,0.000488929,0.000752534,0.00063474,0.000589044,116.9885714,85.71386459,136.7822,73.4002403
16,0.043,0.001414,14,1,1,0.0009782,0.001182908,0.0015758,0.000833372,258.8668,48.65028192,189.6579,106.4599604
17,0.0155,0.002121,12,1,0,0.001080429,0.000415622,0.0007941,0.000266804,190.164,112.8362026,148.0197,100.0072768
18,0.038,0.005657,14,0,0,0.001564143,0.000543831,0.0004724,0.000308621,158.706,89.61840155,104.7488,66.86996153
19,0.037,0.012728,16,0,0,0.001414429,0.001140727,0.0011467,0.00066073,144.644,133.0480476,153.1567,115.0074998
20,0.0235,0.002121,18,0,0,0.000660143,0.000745556,0.0003121,0.000476163,47.75685714,44.96387079,35.6397,46.04235581
21,0.0355,0.00495,14,0,0,0.001129429,0.000646843,0.0014487,0.000882417,173.9738571,84.56396782,176.7267,103.4045617
22,0.0375,0.002121,16,0,1,0.000871143,0.000558557,0.002,0.000666667,107.9108571,63.29812352,183.8158,102.1310073
23,0.0345,0.003536,14,1,0,0.000742,0.00020212,0.00052691,0.000633564,198.53575,135.0209301,104.0758,67.69954015
24,0.0205,0.002121,18,0,0,0.000707286,0.000217652,0.00039397,0.000649907,132.2962857,95.66830585,83.6556,105.0231569
25,0.031,0.004243,12,1,1,0.000982429,0.000485909,0.0009294,0.000441354,197.728,109.0968701,210.1488,101.2153162
28,0.034,0.001414,16,0,1,0.000910714,0.00059946,0.00078597,0.000563869,126.6005714,112.7454302,187.4243,111.8731969
