"nudi_num","temp_grp","trial_type","mean_angle","mean_vel","avg_length_m","direction_binom"
"2","16","conspecific",155.610142857143,0.00137914285714286,0.033,0
"2","16","predator",159.5565,0.0013106,0.033,0
"3","18","conspecific",194.911428571429,0.00130228571428571,0.037,1
"3","18","predator",188.177,0.00094897,0.037,1
"4","12","conspecific",310.765166666667,0.000612571428571429,0.0095,1
"4","12","predator",135.6125,0.0006865,0.0095,0
"5","14","conspecific",172.933833333333,0.00126542857142857,0.04,0
"5","14","predator",245.6982,0.0010775,0.04,1
"6","12","conspecific",162.2156,0.0011842,0.034,0
"6","12","predator",163.2648,0.0011406,0.034,0
"7","16","conspecific",165.222,0.000822428571428571,0.0245,0
"7","16","predator",107.5883,0.0007751,0.0245,0
"8","12","conspecific",206.989666666667,0.000829142857142857,0.031,1
"8","12","predator",117.8607,0.00113274,0.031,0
"10","18","conspecific",226.544,0.000618857142857143,0.028,1
"10","18","predator",161.3361,0.0010752,0.028,0
"11","12","conspecific",226.030285714286,0.000682142857142857,0.0155,1
"11","12","predator",257.2603,0.0003684,0.0155,1
"12","18","conspecific",147.4105,0.000606,0.0275,0
"12","18","predator",110.6862,0.0005475,0.0275,0
"13","18","conspecific",255.0505,0.001068,0.045,1
"13","18","predator",170.8029,0.0017657,0.045,0
"14","16","conspecific",160.902428571429,0.00138428571428571,0.0295,0
"14","16","predator",164.0936,0.00059391,0.0295,0
"15","14","conspecific",116.988571428571,0.000488928571428571,0.024,0
"15","14","predator",136.7822,0.00063474,0.024,0
"16","14","conspecific",258.8668,0.0009782,0.043,1
"16","14","predator",189.6579,0.0015758,0.043,1
"17","12","conspecific",190.164,0.00108042857142857,0.0155,1
"17","12","predator",148.0197,0.0007941,0.0155,0
"18","14","conspecific",158.706,0.00156414285714286,0.038,0
"18","14","predator",104.7488,0.0004724,0.038,0
"19","16","conspecific",144.644,0.00141442857142857,0.037,0
"19","16","predator",153.1567,0.0011467,0.037,0
"20","18","conspecific",47.7568571428571,0.000660142857142857,0.0235,0
"20","18","predator",35.6397,0.0003121,0.0235,0
"21","14","conspecific",173.973857142857,0.00112942857142857,0.0355,0
"21","14","predator",176.7267,0.0014487,0.0355,0
"22","16","conspecific",107.910857142857,0.000871142857142857,0.0375,0
"22","16","predator",183.8158,0.002,0.0375,1
"23","14","conspecific",198.53575,0.000742,0.0345,1
"23","14","predator",104.0758,0.00052691,0.0345,0
"24","18","conspecific",132.296285714286,0.000707285714285714,0.0205,0
"24","18","predator",83.6556,0.00039397,0.0205,0
"25","12","conspecific",197.728,0.000982428571428571,0.031,1
"25","12","predator",210.1488,0.0009294,0.031,1
"28","16","conspecific",126.600571428571,0.000910714285714286,0.034,0
"28","16","predator",187.4243,0.00078597,0.034,1
